name,region,date,day_maxtemp_c,day_maxtemp_f,day_name
BANGKOK,KRUNG THEP,2024-10-07,32.9,91.2,Monday
CHIANG MAI,CHIANG MAI,2024-10-08,31.7,89.1,Tuesday
HAT YAI,SONGKHLA,2024-10-09,31.4,88.4,Wednesday
PATTAYA,CHON BURI,2024-10-07,30.6,87.1,Monday
PHUKET,PHUKET,2024-10-08,29.0,84.2,Tuesday
