name_,region_,country_,day_avgtemp_c_max,day_avgtemp_c_mean,day_avgtemp_c_min,day_avgtemp_f_max,day_avgtemp_f_mean,day_avgtemp_f_min
CHIANG MAI,CHIANG MAI,THAILAND,25.0,24.900000000000002,24.8,76.9,76.76666666666667,76.6
HAT YAI,SONGKHLA,THAILAND,26.7,26.2,25.3,80.0,79.16666666666667,77.6
PATTAYA,CHON BURI,THAILAND,28.1,27.733333333333334,27.5,82.6,81.93333333333332,81.6
PHUKET,PHUKET,THAILAND,27.6,27.2,26.7,81.7,80.96666666666665,80.1
