last_updated,temp_c,temp_f,is_day,condition_text,condition_code,name,country,region
2024-10-07 09:00,26.2,79.2,1,LIGHT RAIN,1183,CHIANG MAI,THAILAND,CHIANG MAI
2024-10-07 09:00,25.4,77.7,1,PARTLY CLOUDY,1003,HAT YAI,THAILAND,SONGKHLA
2024-10-07 08:45,26.9,80.5,1,PATCHY RAIN NEARBY,1063,PATTAYA,THAILAND,CHON BURI
2024-10-07 09:00,28.2,82.8,1,PARTLY CLOUDY,1003,PHUKET,THAILAND,PHUKET
